id,nombre,latitud,longitud,riesgo,tipo
9293, #3087,-15.4500566,-70.14254,35,interseccion
9294, #3088,-15.4501563,-70.1425178,35,interseccion
9295, #3089,-15.4503088,-70.142495,35,interseccion
9296, #3090,-15.4505717,-70.1424199,35,interseccion
9297, #3091,-15.4510968,-70.1422617,35,interseccion
9298, #3092,-15.4486892,-70.1428007,35,interseccion
9299, #3093,-15.4486179,-70.1422801,35,interseccion
9300, #3094,-15.4484979,-70.141606,35,interseccion
9301,Jr. 23 de Septiembre #6,-15.4579335,-70.1491871,35,interseccion
9302,Jr. Ayrton Senna ∩ Jr. 23 de Septiembre,-15.45706,-70.1493446,35,interseccion
9303,Jr. Pacasmayo ∩ Jr. 23 de Septiembre,-15.4549107,-70.1496898,35,interseccion
9304,Jr. Pacasmayo ∩ Jr. 23 de Septiembre,-15.4547696,-70.1497142,35,interseccion
9305,Jr. Antony Perkins ∩ Jr. Ayrton Senna,-15.4573178,-70.1510425,35,interseccion
9306,Jr. Pacasmayo ∩ Jr. Antony Perkins,-15.4550341,-70.1513716,35,interseccion
9307,Jr. Antony Perkins #11,-15.4542431,-70.1515015,35,interseccion
9308, ∩ Jr. Antony Perkins,-15.4538444,-70.1514865,35,interseccion
9309,Calle Runa ∩ Jr. Ayrton Senna,-15.4579227,-70.1537864,35,interseccion
9310,Jr. Pacasmayo ∩ Calle Runa,-15.455404,-70.1541608,35,interseccion
9311,Jr. Uno ∩ Calle Runa,-15.4543625,-70.1543219,35,interseccion
9312, ∩ Calle Runa,-15.4532489,-70.1544556,35,interseccion
9313,Calle Quilla ∩ Jr. Ayrton Senna,-15.4577176,-70.1523521,35,interseccion
9314,Calle Urpi ∩ Jr. Ayrton Senna,-15.4577906,-70.1528336,35,interseccion
9315,Calle Inti ∩ Jr. Ayrton Senna,-15.4578517,-70.1533024,35,interseccion
9316, ∩ Calle Urpi,-15.4535974,-70.1533233,35,interseccion
9317,Calle Urpi #15,-15.4540881,-70.1533896,35,interseccion
